delEtabin: 2   delPhiBin: 1
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 16
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 17
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 17
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 17
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 17
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 17
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 17
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 17
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 17
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 17
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 17
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 17
